央视频,#genre#
cctv8k1080,http://58.215.98.178/tlivecloud-ipv6.ysp.cctv.cn/ysp/2020603421.m3u8
cctv4k,http://58.215.98.178/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000266303.m3u8
CCTV-16,http://58.215.98.178/tlivecloud-ipv6.ysp.cctv.cn/ysp/2012375003.m3u8
CCTV1综合,http://58.215.98.178/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000210103.m3u8
CCTV2财经,http://58.215.98.178/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000203603.m3u8
CCTV3综艺,http://58.215.98.178/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000203803.m3u8
CCTV4中文国际,http://58.215.98.178/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000204803.m3u8
CCTV5体育,http://58.215.98.178/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000205103.m3u8
CCTV5+体育赛事,http://58.215.98.178/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000204503.m3u8
CCTV6电影,http://58.215.98.178/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000203303.m3u8
CCTV7国防军事,http://58.215.98.178/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000510003.m3u8
CCTV8电视剧,http://58.215.98.178/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000203903.m3u8
CCTV9纪录,http://58.215.98.178/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000499403.m3u8
CCTV10科教,http://58.215.98.178/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000203503.m3u8
CCTV11戏曲,http://58.215.98.178/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000204103.m3u8
CCTV12社会与法,http://58.215.98.178/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000202603.m3u8
CCTV13新闻,http://58.215.98.178/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000204603.m3u8
CCTV14少儿,http://58.215.98.178/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000204403.m3u8
CCTV15音乐,http://58.215.98.178/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000205003.m3u8
CCTV17农村农业,http://58.215.98.178/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000204203.m3u8
cgtn,http://58.215.98.178/tlivecloud-ipv6.ysp.cctv.cn/ysp/2001656803.m3u8
cgtn纪录,http://58.215.98.178/tlivecloud-ipv6.ysp.cctv.cn/ysp/2010155403.m3u8
cgtn法语,http://58.215.98.178/tlivecloud-ipv6.ysp.cctv.cn/ysp/2010153503.m3u8
cgtn俄语,http://58.215.98.178/tlivecloud-ipv6.ysp.cctv.cn/ysp/2010152603.m3u8
cgtn阿拉伯语,http://58.215.98.178/tlivecloud-ipv6.ysp.cctv.cn/ysp/2010155203.m3u8
cgtn西班牙语,http://58.215.98.178/tlivecloud-ipv6.ysp.cctv.cn/ysp/2010152503.m3u8
CCTV-怀旧剧场,http://58.215.98.178/tlivecloud-ipv6.ysp.cctv.cn/ysp/2012511203.m3u8
CCTV-高尔夫网球,http://58.215.98.178/tlivecloud-ipv6.ysp.cctv.cn/ysp/2012512503.m3u8
CCTV-世界地理,http://58.215.98.178/tlivecloud-ipv6.ysp.cctv.cn/ysp/2012513303.m3u8
CCTV-兵器科技,http://58.215.98.178/tlivecloud-ipv6.ysp.cctv.cn/ysp/2012513403.m3u8
CCTV-卫生健康,http://58.215.98.178/tlivecloud-ipv6.ysp.cctv.cn/ysp/2012513503.m3u8
CCTV-风云剧场,http://58.215.98.178/tlivecloud-ipv6.ysp.cctv.cn/ysp/2012513603.m3u8
CCTV-央视台球,http://58.215.98.178/tlivecloud-ipv6.ysp.cctv.cn/ysp/2012513703.m3u8
CCTV-央视文化精品,http://58.215.98.178/tlivecloud-ipv6.ysp.cctv.cn/ysp/2012513803.m3u8
CCTV-女性时尚,http://58.215.98.178/tlivecloud-ipv6.ysp.cctv.cn/ysp/2012513903.m3u8
CCTV-电视指南,http://58.215.98.178/tlivecloud-ipv6.ysp.cctv.cn/ysp/2012514003.m3u8
CCTV-风云音乐,http://58.215.98.178/tlivecloud-ipv6.ysp.cctv.cn/ysp/2012514103.m3u8
CCTV-风云足球,http://58.215.98.178/tlivecloud-ipv6.ysp.cctv.cn/ysp/2012514203.m3u8
CCTV-第一剧场,http://58.215.98.178/tlivecloud-ipv6.ysp.cctv.cn/ysp/2012514403.m3u8
江苏卫视频道,http://58.215.98.178/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000295603.m3u8
浙江卫视频道,http://58.215.98.178/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000295503.m3u8
湖南卫视频道,http://58.215.98.178/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000296203.m3u8
北京卫视频道,http://58.215.98.178/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000272103.m3u8
东方卫视频道,http://58.215.98.178/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000292403.m3u8
山东卫视频道,http://58.215.98.178/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000294803.m3u8
四川卫视频道,http://58.215.98.178/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000295003.m3u8
安徽卫视频道,http://58.215.98.178/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000298003.m3u8
江西卫视频道,http://58.215.98.178/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000294103.m3u8
东南卫视频道,http://58.215.98.178/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000292503.m3u8
河北卫视频道,http://58.215.98.178/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000293403.m3u8
河南卫视频道,http://58.215.98.178/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000296103.m3u8
重庆卫视频道,http://58.215.98.178/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000297803.m3u8
海南卫视频道,http://58.215.98.178/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000291503.m3u8
深圳卫视频道,http://58.215.98.178/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000292203.m3u8
湖北卫视频道,http://58.215.98.178/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000294503.m3u8
湖北卫视频道,http://58.215.98.178/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000294503.m3u8
贵州卫视频道,http://58.215.98.178/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000293303.m3u8
广西卫视频道,http://58.215.98.178/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000294203.m3u8
广东卫视频道,http://58.215.98.178/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000292703.m3u8
辽宁卫视频道,http://58.215.98.178/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000281303.m3u8
黑龙江卫视频道,http://58.215.98.178/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000293903.m3u8
天津卫视频道,http://58.215.98.178/tlivecloud-ipv6.ysp.cctv.cn/ysp/2019927003.m3u8
新疆卫视,http://58.215.98.178/tlivecloud-ipv6.ysp.cctv.cn/ysp/2019927403.m3u8
宁夏卫视频道,http://58.215.98.178/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000285103.m3u8
甘肃卫视频道,http://58.215.98.178/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000294603.m3u8
吉林卫视频道,http://58.215.98.178/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000284703.m3u8
陕西卫视频道,http://58.215.98.178/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000294403.m3u8
青海卫视频道,http://58.215.98.178/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000294703.m3u8

国内频道备份,#genre#
cctv1,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001022/index.m3u8
