央视频,#genre#
CCTV1综合,http://127.0.0.1:8081/ysp.php?id=cctv1
CCTV2财经,http://127.0.0.1:8081/ysp.php?id=cctv2
CCTV3综艺,http://127.0.0.1:8081/ysp.php?id=cctv3
CCTV4中文国际,http://127.0.0.1:8081/ysp.php?id=cctv4
CCTV5体育,http://127.0.0.1:8081/ysp.php?id=cctv5
CCTV5+体育赛事,http://127.0.0.1:8081/ysp.php?id=cctv5p
CCTV6电影,http://127.0.0.1:8081/ysp.php?id=cctv6
CCTV7国防军事,http://127.0.0.1:8081/ysp.php?id=cctv7
CCTV8电视剧,http://127.0.0.1:8081/ysp.php?id=cctv8
CCTV9纪录,http://127.0.0.1:8081/ysp.php?id=cctv9
CCTV10科教,http://127.0.0.1:8081/ysp.php?id=cctv10
CCTV11戏曲,http://127.0.0.1:8081/ysp.php?id=cctv11
CCTV12社会与法,http://127.0.0.1:8081/ysp.php?id=cctv12
CCTV13新闻,http://127.0.0.1:8081/ysp.php?id=cctv13
CCTV14少儿,http://127.0.0.1:8081/ysp.php?id=cctv14
CCTV15音乐,http://127.0.0.1:8081/ysp.php?id=cctv15
CCTV-16高清,http://127.0.0.1:8081/ysp.php?id=cctv16
CCTV-16高清,http://127.0.0.1:8081/ysp.php?id=cctv16-4k
CCTV17农村农业,http://127.0.0.1:8081/ysp.php?id=cctv17
cctv4k,http://127.0.0.1:8081/ysp.php?id=cctv4k
CGTN,http://127.0.0.1:8081/ysp.php?id=cgtn
CGTN纪录高清,http://127.0.0.1:8081/ysp.php?id=cgtnjl
CGTN法语高清,http://127.0.0.1:8081/ysp.php?id=cgtnf
CGTN俄语高清,http://127.0.0.1:8081/ysp.php?id=cgtnr
CGTN阿拉伯语高清,http://127.0.0.1:8081/ysp.php?id=cgtna
CGTN西班牙语高清,http://127.0.0.1:8081/ysp.php?id=cgtne
CCTV-怀旧剧场,http://127.0.0.1:8081/ysp.php?id=hjjc
CCTV-高尔夫网球,http://127.0.0.1:8081/ysp.php?id=gefwq
CCTV-世界地理,http://127.0.0.1:8081/ysp.php?id=sjdl
CCTV-兵器科技,http://127.0.0.1:8081/ysp.php?id=bqkj
CCTV-卫生健康,http://127.0.0.1:8081/ysp.php?id=wsjk
CCTV-风云剧场,http://127.0.0.1:8081/ysp.php?id=fyjc
CCTV-央视台球,http://127.0.0.1:8081/ysp.php?id=ystq
CCTV-央视文化精品,http://127.0.0.1:8081/ysp.php?id=whjp
CCTV-女性时尚,http://127.0.0.1:8081/ysp.php?id=nxss
CCTV-电视指南,http://127.0.0.1:8081/ysp.php?id=dszn
CCTV-风云音乐,http://127.0.0.1:8081/ysp.php?id=fyyy
CCTV-风云足球,http://127.0.0.1:8081/ysp.php?id=2fzq
CCTV-第一剧场,http://127.0.0.1:8081/ysp.php?id=dyjc
江苏卫视,http://127.0.0.1:8081/ysp.php?id=jsws
浙江卫视,http://127.0.0.1:8081/ysp.php?id=zjws
湖南卫视,http://127.0.0.1:8081/ysp.php?id=hunws
北京卫视,http://127.0.0.1:8081/ysp.php?id=bjws
东方卫视,http://127.0.0.1:8081/ysp.php?id=dfws
山东卫视,http://127.0.0.1:8081/ysp.php?id=sdws
四川卫视,http://127.0.0.1:8081/ysp.php?id=scws
安徽卫视,http://127.0.0.1:8081/ysp.php?id=ahws
江西卫视,http://127.0.0.1:8081/ysp.php?id=jxws
东南卫视,http://127.0.0.1:8081/ysp.php?id=dnws
河北卫视,http://127.0.0.1:8081/ysp.php?id=hbws
河南卫视,http://127.0.0.1:8081/ysp.php?id=hnws
重庆卫视,http://127.0.0.1:8081/ysp.php?id=cqws
海南卫视,http://127.0.0.1:8081/ysp.php?id=hinws
深圳卫视,http://127.0.0.1:8081/ysp.php?id=szws
湖北卫视,http://127.0.0.1:8081/ysp.php?id=hubws
贵州卫视,http://127.0.0.1:8081/ysp.php?id=gzws
广西卫视,http://127.0.0.1:8081/ysp.php?id=gxws
广东卫视,http://127.0.0.1:8081/ysp.php?id=gdws
辽宁卫视,http://127.0.0.1:8081/ysp.php?id=lnws
黑龙江卫视,http://127.0.0.1:8081/ysp.php?id=hljws
天津卫视,http://127.0.0.1:8081/ysp.php?id=tjws
新疆卫视,http://127.0.0.1:8081/ysp.php?id=xjws
CCTV1综合,http://127.0.0.1:8081/ysp1.php?id=cctv1
CCTV2财经,http://127.0.0.1:8081/ysp1.php?id=cctv2
CCTV3综艺,http://127.0.0.1:8081/ysp1.php?id=cctv3
CCTV4中文国际,http://127.0.0.1:8081/ysp1.php?id=cctv4
CCTV5体育,http://127.0.0.1:8081/ysp1.php?id=cctv5
CCTV5+体育赛事,http://127.0.0.1:8081/ysp1.php?id=cctv5p
CCTV6电影,http://127.0.0.1:8081/ysp1.php?id=cctv6
CCTV7国防军事,http://127.0.0.1:8081/ysp1.php?id=cctv7
CCTV8电视剧,http://127.0.0.1:8081/ysp1.php?id=cctv8
CCTV9纪录,http://127.0.0.1:8081/ysp1.php?id=cctv9
CCTV10科教,http://127.0.0.1:8081/ysp1.php?id=cctv10
CCTV11戏曲,http://127.0.0.1:8081/ysp1.php?id=cctv11
CCTV12社会与法,http://127.0.0.1:8081/ysp1.php?id=cctv12
CCTV13新闻,http://127.0.0.1:8081/ysp1.php?id=cctv13
CCTV14少儿,http://127.0.0.1:8081/ysp1.php?id=cctv14
CCTV15音乐,http://127.0.0.1:8081/ysp1.php?id=cctv15
CCTV-16高清,http://127.0.0.1:8081/ysp1.php?id=cctv16
CCTV-16高清,http://127.0.0.1:8081/ysp1.php?id=cctv16-4k
CCTV17农村农业,http://127.0.0.1:8081/ysp1.php?id=cctv17
cctv4k,http://127.0.0.1:8081/ysp1.php?id=cctv4k
CGTN,http://127.0.0.1:8081/ysp1.php?id=cgtn
CGTN纪录高清,http://127.0.0.1:8081/ysp1.php?id=cgtnjl
CGTN法语高清,http://127.0.0.1:8081/ysp1.php?id=cgtnf
CGTN俄语高清,http://127.0.0.1:8081/ysp1.php?id=cgtnr
CGTN阿拉伯语高清,http://127.0.0.1:8081/ysp1.php?id=cgtna
CGTN西班牙语高清,http://127.0.0.1:8081/ysp1.php?id=cgtne
CCTV-怀旧剧场,http://127.0.0.1:8081/ysp1.php?id=hjjc
CCTV-高尔夫网球,http://127.0.0.1:8081/ysp1.php?id=gefwq
CCTV-世界地理,http://127.0.0.1:8081/ysp1.php?id=sjdl
CCTV-兵器科技,http://127.0.0.1:8081/ysp1.php?id=bqkj
CCTV-卫生健康,http://127.0.0.1:8081/ysp1.php?id=wsjk
CCTV-风云剧场,http://127.0.0.1:8081/ysp1.php?id=fyjc
CCTV-央视台球,http://127.0.0.1:8081/ysp1.php?id=ystq
CCTV-央视文化精品,http://127.0.0.1:8081/ysp1.php?id=whjp
CCTV-女性时尚,http://127.0.0.1:8081/ysp1.php?id=nxss
CCTV-电视指南,http://127.0.0.1:8081/ysp1.php?id=dszn
CCTV-风云音乐,http://127.0.0.1:8081/ysp1.php?id=fyyy
CCTV-风云足球,http://127.0.0.1:8081/ysp1.php?id=2fzq
CCTV-第一剧场,http://127.0.0.1:8081/ysp1.php?id=dyjc
江苏卫视,http://127.0.0.1:8081/ysp1.php?id=jsws
浙江卫视,http://127.0.0.1:8081/ysp1.php?id=zjws
湖南卫视,http://127.0.0.1:8081/ysp1.php?id=hunws
北京卫视,http://127.0.0.1:8081/ysp1.php?id=bjws
东方卫视,http://127.0.0.1:8081/ysp1.php?id=dfws
山东卫视,http://127.0.0.1:8081/ysp1.php?id=sdws
四川卫视,http://127.0.0.1:8081/ysp1.php?id=scws
安徽卫视,http://127.0.0.1:8081/ysp1.php?id=ahws
江西卫视,http://127.0.0.1:8081/ysp1.php?id=jxws
东南卫视,http://127.0.0.1:8081/ysp1.php?id=dnws
河北卫视,http://127.0.0.1:8081/ysp1.php?id=hbws
河南卫视,http://127.0.0.1:8081/ysp1.php?id=hnws
重庆卫视,http://127.0.0.1:8081/ysp1.php?id=cqws
海南卫视,http://127.0.0.1:8081/ysp1.php?id=hinws
深圳卫视,http://127.0.0.1:8081/ysp1.php?id=szws
湖北卫视,http://127.0.0.1:8081/ysp1.php?id=hubws
贵州卫视,http://127.0.0.1:8081/ysp1.php?id=gzws
广西卫视,http://127.0.0.1:8081/ysp1.php?id=gxws
广东卫视,http://127.0.0.1:8081/ysp1.php?id=gdws
辽宁卫视,http://127.0.0.1:8081/ysp1.php?id=lnws
黑龙江卫视,http://127.0.0.1:8081/ysp1.php?id=hljws
天津卫视,http://127.0.0.1:8081/ysp1.php?id=tjws
新疆卫视,http://127.0.0.1:8081/ysp1.php?id=xjws
CCTV1综合,http://127.0.0.1:8081/ysp2.php?id=cctv1
CCTV2财经,http://127.0.0.1:8081/ysp2.php?id=cctv2
CCTV3综艺,http://127.0.0.1:8081/ysp2.php?id=cctv3
CCTV4中文国际,http://127.0.0.1:8081/ysp2.php?id=cctv4
CCTV5体育,http://127.0.0.1:8081/ysp2.php?id=cctv5
CCTV5+体育赛事,http://127.0.0.1:8081/ysp2.php?id=cctv5p
CCTV6电影,http://127.0.0.1:8081/ysp2.php?id=cctv6
CCTV7国防军事,http://127.0.0.1:8081/ysp2.php?id=cctv7
CCTV8电视剧,http://127.0.0.1:8081/ysp2.php?id=cctv8
CCTV9纪录,http://127.0.0.1:8081/ysp2.php?id=cctv9
CCTV10科教,http://127.0.0.1:8081/ysp2.php?id=cctv10
CCTV11戏曲,http://127.0.0.1:8081/ysp2.php?id=cctv11
CCTV12社会与法,http://127.0.0.1:8081/ysp2.php?id=cctv12
